marla,area_sqft,floor_number,total_floors,bedrooms,bathrooms,kitchens,servant_quarters,store_rooms,society,luxury_score,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,price_per_sqft,price,agePossession
10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 10,129,1,1,1,1,1,1,1,1,1,1,11937.557392102846,3.25,Relatively New
10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,122,1,1,1,1,0,1,0,0,0,0,10101.0101010101,2.75,Undefined
10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,132,1,1,1,1,1,1,1,1,1,1,9550.045913682276,2.6,Undefined
11.0,2994.75,4.0,9.0,4.0,3.0,1.0,1.0,1.0,Askari 11,66,1,1,1,1,1,0,0,1,0,0,10017.530678687704,3.0,New Property
12.9,3512.025,5.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,118,1,1,1,1,1,1,1,1,1,1,13240.224656715143,4.65,New Property
12.0,3267.0,4.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,140,1,1,1,1,1,1,1,1,1,1,13774.104683195592,4.5,New Property
12.0,3267.0,3.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,96,1,1,1,1,0,0,1,0,0,0,13927.150290786654,4.55,New Property
10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,97,1,1,1,1,0,0,1,0,0,0,12855.83103764922,3.5,Under construction
10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,104,1,1,1,1,0,0,1,0,0,0,13039.485766758497,3.55,Under construction
10.0,2722.5,,,,,,,,Askari 11,23,0,0,0,0,0,0,0,0,0,0,16528.92561983471,4.5,Undefined
10.0,2722.5,1.0,,3.0,3.0,1.0,1.0,1.0,Askari 11,128,1,1,1,1,1,1,1,1,1,1,11937.557392102846,3.25,New Property
12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,75,1,1,1,1,0,0,1,0,0,0,13621.05907560453,4.45,Undefined
12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,66,1,1,1,1,0,0,1,0,0,0,13008.876645240282,4.25,Undefined
12.2,3321.45,5.0,10.0,5.0,5.0,1.0,1.0,1.0,Askari 10,106,1,1,1,1,1,0,1,0,0,1,13548.299688389108,4.5,New Property
12.2,3321.45,3.0,10.0,5.0,5.0,1.0,1.0,1.0,Askari 10,80,1,1,0,0,1,0,0,0,0,1,14300.983004410726,4.75,New Property
11.0,2994.75,6.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 10,107,1,1,1,1,0,0,1,0,1,0,12588.696886217547,3.77,New Property
12.0,3267.0,,,,,,,,Askari 10,23,0,0,0,0,0,0,0,0,0,0,13774.104683195592,4.5,Undefined
12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 11,109,1,1,1,1,1,1,1,1,1,1,12243.648607284971,4.0,New Property
12.0,3267.0,,9.0,4.0,4.0,1.0,1.0,1.0,Askari 10,128,1,1,1,1,1,1,1,0,0,1,14386.287113559842,4.7,New Property
10.0,2722.5,2.0,2.0,3.0,3.0,1.0,1.0,1.0,Askari,87,1,1,1,1,0,0,0,1,0,1,8815.426997245178,2.4,Old Property
10.0,2722.5,6.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari,97,1,1,1,1,0,0,0,1,0,1,13774.104683195592,3.75,New Property
12.0,3267.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,Askari 10,133,1,1,1,1,1,1,1,1,1,1,13314.967860422406,4.35,New Property
12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 11,30,1,1,1,1,1,1,1,1,1,0,13774.104683195592,4.5,Undefined
11.0,2994.75,5.0,9.0,3.0,3.0,1.0,1.0,1.0,Askari 10,137,1,1,1,1,1,1,1,1,1,1,11019.283746556472,3.3,Relatively New
10.0,2722.5,8.0,9.0,3.0,3.0,1.0,1.0,1.0,Askari 10,106,1,1,1,1,1,1,1,0,1,0,12488.52157943067,3.4,New Property
10.0,2722.5,3.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,122,1,1,1,1,1,1,1,1,1,0,13957.759412304868,3.8,New Property
10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 11,118,1,1,1,1,1,1,1,1,1,0,12121.212121212122,3.3,Undefined
10.0,2722.5,,,,,,,,Askari 11,59,0,0,0,0,0,0,0,0,0,0,14508.72359963269,3.95,New Property
10.0,2722.5,5.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari 11,98,1,1,1,1,1,1,1,1,1,0,10101.0101010101,2.75,Relatively New
11.1,3021.975,4.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari,137,1,1,1,1,1,1,1,1,1,0,11581.829763647946,3.5,New Property
10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 10,76,1,1,1,1,0,0,1,0,0,0,15977.961432506889,4.35,Undefined
12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,111,1,1,1,1,1,1,1,0,1,1,16835.016835016835,5.5,New Property
12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,75,1,1,1,1,0,0,1,0,0,0,14233.24150596878,4.65,Undefined
12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,111,1,1,1,1,1,1,1,1,0,1,16681.971227425773,5.45,New Property
10.0,2722.5,,,,,,,,Askari 10,59,0,0,0,0,0,0,0,0,0,0,9182.736455463728,2.5,Undefined
12.0,3267.0,,,,,,,,Askari 10,45,0,0,0,0,0,0,0,0,0,0,7958.371594735231,2.6,Undefined
10.0,2722.5,,,10.0,11.0,1.0,1.0,1.0,Askari 11,91,1,1,0,0,1,1,0,0,0,1,8264.462809917355,2.25,Relatively New
12.0,3267.0,,,,,,,,Askari 11,45,0,0,0,0,0,0,0,0,0,0,7499.234771962045,2.45,Undefined
10.0,2722.5,6.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 10,97,1,1,1,1,0,0,1,0,0,0,14141.41414141414,3.85,New Property
13.0,3539.25,7.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,117,1,1,1,1,0,0,1,0,0,1,12205.975842339478,4.32,New Property
12.0,3267.0,,,6.0,6.0,2.0,2.0,1.0,Askari 10,106,1,1,1,1,1,1,1,1,1,1,13774.104683195592,4.5,New Property
13.0,3539.25,6.0,9.0,1.0,1.0,1.0,1.0,1.0,Askari 10,118,1,1,1,1,1,1,1,1,1,0,12573.285300558027,4.45,New Property
10.0,2722.5,,8.0,3.0,3.0,1.0,1.0,1.0,Askari,90,1,1,1,1,0,1,0,1,0,0,12855.83103764922,3.5,New Property
12.0,3267.0,,,4.0,4.0,1.0,1.0,1.0,Askari 11,76,1,1,1,1,1,1,1,0,1,0,10254.055708601163,3.35,Relatively New
10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,62,1,1,1,1,1,1,1,0,1,0,11864.095500459136,3.23,Relatively New
10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 11,57,1,1,1,1,1,1,1,1,1,0,11937.557392102846,3.25,New Property
10.0,2722.5,2.0,2.0,3.0,4.0,1.0,1.0,1.0,Askari 11,50,1,1,1,1,1,1,1,1,1,0,10101.0101010101,2.75,Relatively New
10.0,2722.5,2.0,2.0,3.0,4.0,1.0,1.0,1.0,Askari 11,87,1,1,1,1,1,1,1,1,1,0,10284.664830119376,2.8,Relatively New
6.0,1633.5,2.0,5.0,2.0,3.0,1.0,,1.0,Askari 11,48,1,1,1,1,1,1,1,1,1,0,11019.283746556472,1.8,Relatively New
12.0,3267.0,,,4.0,4.0,1.0,1.0,1.0,Askari 10,133,1,1,1,1,1,1,1,1,1,1,13774.104683195592,4.5,New Property
10.0,2722.5,5.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari 11,113,1,1,1,1,1,1,1,1,1,0,10284.664830119376,2.8,Relatively New
5.3,1442.925,11.0,8.0,2.0,2.0,1.0,1.0,1.0,Askari,137,1,1,1,1,1,1,1,1,1,1,23216.729906266784,3.35,Undefined
10.0,2722.5,1.0,3.0,3.0,3.0,1.0,1.0,1.0,Askari 10,136,1,1,1,1,1,1,1,1,1,1,13406.795224977042,3.65,Relatively New
10.0,2722.5,,,3.0,4.0,2.0,1.0,1.0,Askari 10,121,1,1,1,1,1,1,1,1,1,1,12672.176308539943,3.45,Relatively New
10.0,2722.5,,,2.0,2.0,1.0,1.0,1.0,Askari,110,1,1,1,1,1,1,1,1,1,1,18181.81818181818,4.95,New Property
10.0,2722.5,,,,,,,,Askari,54,0,0,0,0,0,0,0,0,0,0,6427.9155188246095,1.75,Undefined
10.0,2722.5,6.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,135,1,1,1,1,1,1,1,1,1,1,14876.03305785124,4.05,New Property
12.0,3267.0,4.0,8.0,,,,1.0,,Askari 11,126,0,0,0,0,0,0,0,0,0,1,15151.515151515152,4.95,Relatively New
10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,119,1,1,1,1,1,1,1,1,1,0,12378.328741965106,3.37,Undefined
10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,116,1,1,1,1,1,1,1,1,1,0,10505.050505050503,2.86,Undefined
10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,130,1,1,1,1,1,1,1,1,1,1,10468.31955922865,2.85,Undefined
10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 10,111,1,1,1,1,1,1,1,1,1,1,12855.83103764922,3.5,Relatively New
10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 10,111,1,1,1,1,1,1,1,1,1,1,13590.449954086318,3.7,Relatively New
13.0,3539.25,7.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,109,1,1,1,1,1,1,1,1,0,0,12855.83103764922,4.55,New Property
